title,rating,year,actors,runtime,url
Hababam Sinifi,9.3,1975,Kemal Sunal;Münir Özkul;Halit Akçatepe;Tarik Akan,87,https://www.imdb.com//title/tt0252487/
Fantozzi,7.9,1975,Paolo Villaggio;Anna Mazzamauro;Gigi Reder;Giuseppe Anatrelli,108,https://www.imdb.com//title/tt0071486/
Mavi Boncuk,7.8,1975,Emel Sayin;Tarik Akan;Zeki Alasya;Metin Akpinar,79,https://www.imdb.com//title/tt0252695/
Sholay,8.2,1975,Sanjeev Kumar;Dharmendra;Amitabh Bachchan;Amjad Khan,204,https://www.imdb.com//title/tt0073707/
De zomer van de witte haai,8.0,1975,Roy Scheider;Robert Shaw;Richard Dreyfuss;Lorraine Gary,124,https://www.imdb.com//title/tt0073195/
Dog Day Afternoon,8.0,1975,Al Pacino;John Cazale;Penelope Allen;Sully Boyar,125,https://www.imdb.com//title/tt0072890/
Barry Lyndon,8.1,1975,Ryan O'Neal;Marisa Berenson;Patrick Magee;Hardy Krüger,185,https://www.imdb.com//title/tt0072684/
Deewaar,8.1,1975,Amitabh Bachchan;Shashi Kapoor;Nirupa Roy;Parveen Babi,174,https://www.imdb.com//title/tt0072860/
Zerkalo,8.1,1975,Margarita Terekhova;Filipp Yankovskiy;Ignat Daniltsev;Oleg Yankovskiy,107,https://www.imdb.com//title/tt0072443/
Amici miei,8.0,1975,Ugo Tognazzi;Gastone Moschin;Philippe Noiret;Duilio Del Prete,140,https://www.imdb.com//title/tt0072637/
Flåklypa Grand Prix,8.5,1975,Wenche Foss;Per Theodor Haugen;Harald Heide-Steen Jr.;Leif Juster,88,https://www.imdb.com//title/tt0073000/
Monty Python and the Holy Grail,8.2,1975,Graham Chapman;John Cleese;Eric Idle;Terry Gilliam,91,https://www.imdb.com//title/tt0071853/
Chupke Chupke,8.3,1975,Dharmendra;Sharmila Tagore;Amitabh Bachchan;Jaya Bachchan,146,https://www.imdb.com//title/tt0072783/
Dersu Uzala,8.3,1975,Maksim Munzuk;Yuriy Solomin;Mikhail Bychkov;Vladimir Khrulyov,142,https://www.imdb.com//title/tt0071411/
One Flew Over the Cuckoo's Nest,8.7,1975,Jack Nicholson;Louise Fletcher;Michael Berryman;Peter Brocco,133,https://www.imdb.com//title/tt0073486/
Bizim Aile,8.4,1975,Münir Özkul;Adile Nasit;Tarik Akan;Itir Esen,88,https://www.imdb.com//title/tt0456047/
Network,8.1,1976,Faye Dunaway;William Holden;Peter Finch;Robert Duvall,121,https://www.imdb.com//title/tt0074958/
Al-risâlah,9.0,1976,Abdallah Gheith;Mona Wassef;Hamdy Gheith;Ali Achmed Taram,207,https://www.imdb.com//title/tt0075143/
All the President's Men,8.0,1976,Dustin Hoffman;Robert Redford;Jack Warden;Martin Balsam,138,https://www.imdb.com//title/tt0074119/
The Message,8.2,1976,Anthony Quinn;Irene Papas;Michael Ansara;Johnny Sekka,177,https://www.imdb.com//title/tt0074896/
Cría cuervos,8.0,1976,Ana Torrent;Conchita Pérez;Mayte Sanchez;Geraldine Chaplin,105,https://www.imdb.com//title/tt0074360/
Tosun Pasa,9.0,1976,Kemal Sunal;Müjde Ar;Adile Nasit;Sener Sen,90,https://www.imdb.com//title/tt0253828/
Süt Kardesler,8.9,1976,Kemal Sunal;Sener Sen;Halit Akçatepe;Hale Soygazi,80,https://www.imdb.com//title/tt0253779/
Taxi Driver,8.2,1976,Robert De Niro;Jodie Foster;Cybill Shepherd;Albert Brooks,114,https://www.imdb.com//title/tt0075314/
Kapicilar Krali,8.4,1976,Kemal Sunal;Sevda Ferdag;Bilge Zobu;Sevket Altug,84,https://www.imdb.com//title/tt0252591/
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal;Münir Özkul;Semra Özdamar;Adile Nasit,91,https://www.imdb.com//title/tt0252488/
Rocky,8.1,1976,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers,120,https://www.imdb.com//title/tt0075148/
Cet obscur objet du désir,7.9,1977,Fernando Rey;Carole Bouquet;Ángela Molina;Julien Bertheau,103,https://www.imdb.com//title/tt0075824/
Voskhozhdenie,8.3,1977,Boris Plotnikov;Vladimir Gostyukhin;Sergey Yakovlev;Lyudmila Polyakova,111,https://www.imdb.com//title/tt0075404/
Annie Hall,8.0,1977,Woody Allen;Diane Keaton;Tony Roberts;Carol Kane,93,https://www.imdb.com//title/tt0075686/
Opening Night,8.0,1977,Gena Rowlands;John Cassavetes;Ben Gazzara;Joan Blondell,144,https://www.imdb.com//title/tt0079672/
Hababam Sinifi Uyaniyor,8.8,1977,Tayfun Akalin;Tuncay Akça;Halit Akçatepe;Sitki Akçatepe,94,https://www.imdb.com//title/tt0252490/
Una giornata particolare,8.1,1977,Sophia Loren;Marcello Mastroianni;John Vernon;Françoise Berd,106,https://www.imdb.com//title/tt0076085/
Sakar Sakir,8.1,1977,Kemal Sunal;Adile Nasit;Ali Sen;Ünal Gürel,81,https://www.imdb.com//title/tt0253621/
Selvi Boylum Al Yazmalim,8.6,1977,Türkan Soray;Kadir Inanir;Ahmet Mekin;Hülya Tuglu,90,https://www.imdb.com//title/tt0263975/
Çöpçüler Krali,8.6,1977,Kemal Sunal;Sener Sen;Aysen Gruda;Ihsan Yüce,80,https://www.imdb.com//title/tt0253997/
De sterrenoorlogen,8.6,1977,Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,121,https://www.imdb.com//title/tt0076759/
Gülen Gözler,8.5,1977,Münir Özkul;Adile Nasit;Halit Akçatepe;Müjde Ar,97,https://www.imdb.com//title/tt0289967/
Saban Oglu Saban,8.7,1977,Kemal Sunal;Halit Akçatepe;Sener Sen;Sevda Aktolga,90,https://www.imdb.com//title/tt0253614/
Hababam Sinifi Tatilde,8.7,1977,Sevda Aktolga;Ahmet Ariman;Filiz Bozkurt;Aysen Gruda,97,https://www.imdb.com//title/tt0252489/
Sluzhebnyy roman,8.3,1977,Alisa Freyndlikh;Andrey Myagkov;Svetlana Nemolyaeva;Oleg Basilashvili,159,https://www.imdb.com//title/tt0076727/
Mimino,8.2,1977,Vakhtang Kikabidze;Frunzik Mkrtchyan;Elena Proklova;Evgeniy Leonov,95,https://www.imdb.com//title/tt0076391/
Höstsonaten,8.2,1978,Ingrid Bergman;Liv Ullmann;Lena Nyman;Halvar Björk,99,https://www.imdb.com//title/tt0077711/
The Deer Hunter,8.1,1978,Robert De Niro;Christopher Walken;John Cazale;John Savage,183,https://www.imdb.com//title/tt0077416/
Neseli Günler,8.7,1978,Münir Özkul;Adile Nasit;Sener Sen;Aysen Gruda,92,https://www.imdb.com//title/tt0765833/
Kibar Feyzo,8.7,1978,Kemal Sunal;Sener Sen;Ilyas Salman;Adile Nasit,83,https://www.imdb.com//title/tt0252597/
L'albero degli zoccoli,7.9,1978,Luigi Ornaghi;Francesca Moriggi;Omar Brignoli;Antonio Ferrari,186,https://www.imdb.com//title/tt0077138/
Dawn of the Dead,7.9,1978,David Emge;Ken Foree;Scott H. Reiniger;Gaylen Ross,127,https://www.imdb.com//title/tt0077402/
Being There,8.0,1979,Peter Sellers;Shirley MacLaine;Melvyn Douglas;Jack Warden,130,https://www.imdb.com//title/tt0078841/
Stalker,8.1,1979,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko,162,https://www.imdb.com//title/tt0079944/
All That Jazz,7.9,1979,Roy Scheider;Jessica Lange;Ann Reinking;Leland Palmer,123,https://www.imdb.com//title/tt0078754/
Golmaal,8.6,1979,Amol Palekar;Bindiya Goswami;Deven Verma;Shubha Khote,120,https://www.imdb.com//title/tt0079221/
