,Unnamed: 0,title,rating,year,actors,languages,runtime,url
0,2,Mavi Boncuk,7.8,1975,Emel Sayin;Tarik Akan;Zeki Alasya;Metin Akpinar,Turkish,79,https://www.imdb.com//title/tt0252695/
1,1,Fantozzi,7.9,1975,Paolo Villaggio;Anna Mazzamauro;Gigi Reder;Giuseppe Anatrelli,Italian;Japanese;French;German,108,https://www.imdb.com//title/tt0071486/
2,4,De zomer van de witte haai,8.0,1975,Roy Scheider;Robert Shaw;Richard Dreyfuss;Lorraine Gary,English,124,https://www.imdb.com//title/tt0073195/
3,18,All the President's Men,8.0,1976,Dustin Hoffman;Robert Redford;Jack Warden;Martin Balsam,English;Spanish,138,https://www.imdb.com//title/tt0074119/
4,20,Cría cuervos,8.0,1976,Ana Torrent;Conchita Pérez;Mayte Sanchez;Geraldine Chaplin,Spanish,105,https://www.imdb.com//title/tt0074360/
5,16,Network,8.1,1976,Faye Dunaway;William Holden;Peter Finch;Robert Duvall,English,121,https://www.imdb.com//title/tt0074958/
6,27,Cet obscur objet du désir,7.9,1977,Fernando Rey;Carole Bouquet;Ángela Molina;Julien Bertheau,French;Spanish,103,https://www.imdb.com//title/tt0075824/
7,29,Annie Hall,8.0,1977,Woody Allen;Diane Keaton;Tony Roberts;Carol Kane,English;German,93,https://www.imdb.com//title/tt0075686/
8,30,Opening Night,8.0,1977,Gena Rowlands;John Cassavetes;Ben Gazzara;Joan Blondell,English,144,https://www.imdb.com//title/tt0079672/
11,43,The Deer Hunter,8.1,1978,Robert De Niro;Christopher Walken;John Cazale;John Savage,English;Vietnamese;French;Russian;Cantonese,183,https://www.imdb.com//title/tt0077416/
10,47,Dawn of the Dead,7.9,1978,David Emge;Ken Foree;Scott H. Reiniger;Gaylen Ross,English;Spanish,127,https://www.imdb.com//title/tt0077402/
9,46,L'albero degli zoccoli,7.9,1978,Luigi Ornaghi;Francesca Moriggi;Omar Brignoli;Antonio Ferrari,Italian,186,https://www.imdb.com//title/tt0077138/
12,50,All That Jazz,7.9,1979,Roy Scheider;Jessica Lange;Ann Reinking;Leland Palmer,English;Spanish,123,https://www.imdb.com//title/tt0078754/
13,55,Manhattan,7.9,1979,Woody Allen;Diane Keaton;Mariel Hemingway;Michael Murphy,English,96,https://www.imdb.com//title/tt0079522/
14,57,Amator,7.9,1979,Jerzy Stuhr;Malgorzata Zabkowska;Ewa Pokas;Stefan Czyzewski,Polish,112,https://www.imdb.com//title/tt0078763/
15,67,The Blues Brothers,7.9,1980,John Belushi;Dan Aykroyd;Cab Calloway;John Candy,English,133,https://www.imdb.com//title/tt0080455/
