title,rating,year,actors,runtime,languages,url
Zemlya,7.2,1930,Stepan Shkurat;Semyon Svashenko;Yuliya Solntseva;Yelena Maksimova,75,Russian;English,https://www.imdb.com//title/tt0021571/
L'âge d'or,7.2,1930,Gaston Modot;Lya Lys;Caridad de Laberdesque;Max Ernst,60,French,https://www.imdb.com//title/tt0021577/
Hell's Angels,7.3,1930,Ben Lyon;James Hall;Jean Harlow;John Darrow,127,English;German;French,https://www.imdb.com//title/tt0020960/
Animal Crackers,7.4,1930,Groucho Marx;Harpo Marx;Chico Marx;The Marx Brothers,97,English,https://www.imdb.com//title/tt0020640/
Der blaue Engel,7.7,1930,Emil Jannings;Marlene Dietrich;Kurt Gerron;Rosa Valetti,104,German;English;French,https://www.imdb.com//title/tt0020697/
Little Caesar,7.2,1931,Edward G. Robinson;Douglas Fairbanks Jr.;Glenda Farrell;William Collier Jr.,79,English,https://www.imdb.com//title/tt0021079/
Monkey Business,7.4,1931,Groucho Marx;Harpo Marx;The Marx Brothers;Chico Marx,77,English,https://www.imdb.com//title/tt0022158/
Dracula de vampier,7.4,1931,Bela Lugosi;Helen Chandler;David Manners;Dwight Frye,75,English;Hungarian;Latin,https://www.imdb.com//title/tt0021814/
Taboe,7.4,1931,Anne Chevalier;Matahi;Hitu;Bill Bambridge,86,English,https://www.imdb.com//title/tt0022458/
Dr. Jekyll and Mr. Hyde,7.6,1931,Fredric March;Miriam Hopkins;Rose Hobart;Holmes Herbert,98,English,https://www.imdb.com//title/tt0022835/
Island of Lost Souls,7.4,1932,Charles Laughton;Bela Lugosi;Richard Arlen;Leila Hyams,70,English;Cantonese,https://www.imdb.com//title/tt0024188/
Grand Hotel,7.3,1932,Greta Garbo;John Barrymore;Joan Crawford;Wallace Beery,112,English;Russian,https://www.imdb.com//title/tt0022958/
Boudu sauvé des eaux,7.3,1932,Michel Simon;Marcelle Hainia;Sévérine Lerczinska;Jean Gehret,85,French,https://www.imdb.com//title/tt0022718/
Shanghai Express,7.3,1932,Marlene Dietrich;Clive Brook;Anna May Wong;Warner Oland,82,English;French;Cantonese;German,https://www.imdb.com//title/tt0023458/
