,title,rating,year,actors,runtime,url
2,Mavi Boncuk,7.8,1975,Emel Sayin;Tarik Akan;Zeki Alasya;Metin Akpinar,79,https://www.imdb.com//title/tt0252695/
1,Fantozzi,7.9,1975,Paolo Villaggio;Anna Mazzamauro;Gigi Reder;Giuseppe Anatrelli,108,https://www.imdb.com//title/tt0071486/
4,De zomer van de witte haai,8.0,1975,Roy Scheider;Robert Shaw;Richard Dreyfuss;Lorraine Gary,124,https://www.imdb.com//title/tt0073195/
5,Dog Day Afternoon,8.0,1975,Al Pacino;John Cazale;Penelope Allen;Sully Boyar,125,https://www.imdb.com//title/tt0072890/
9,Amici miei,8.0,1975,Ugo Tognazzi;Gastone Moschin;Philippe Noiret;Duilio Del Prete,140,https://www.imdb.com//title/tt0072637/
18,All the President's Men,8.0,1976,Dustin Hoffman;Robert Redford;Jack Warden;Martin Balsam,138,https://www.imdb.com//title/tt0074119/
20,Cría cuervos,8.0,1976,Ana Torrent;Conchita Pérez;Mayte Sanchez;Geraldine Chaplin,105,https://www.imdb.com//title/tt0074360/
16,Network,8.1,1976,Faye Dunaway;William Holden;Peter Finch;Robert Duvall,121,https://www.imdb.com//title/tt0074958/
26,Rocky,8.1,1976,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers,120,https://www.imdb.com//title/tt0075148/
19,The Message,8.2,1976,Anthony Quinn;Irene Papas;Michael Ansara;Johnny Sekka,177,https://www.imdb.com//title/tt0074896/
27,Cet obscur objet du désir,7.9,1977,Fernando Rey;Carole Bouquet;Ángela Molina;Julien Bertheau,103,https://www.imdb.com//title/tt0075824/
29,Annie Hall,8.0,1977,Woody Allen;Diane Keaton;Tony Roberts;Carol Kane,93,https://www.imdb.com//title/tt0075686/
30,Opening Night,8.0,1977,Gena Rowlands;John Cassavetes;Ben Gazzara;Joan Blondell,144,https://www.imdb.com//title/tt0079672/
32,Una giornata particolare,8.1,1977,Sophia Loren;Marcello Mastroianni;John Vernon;Françoise Berd,106,https://www.imdb.com//title/tt0076085/
33,Sakar Sakir,8.1,1977,Kemal Sunal;Adile Nasit;Ali Sen;Ünal Gürel,81,https://www.imdb.com//title/tt0253621/
46,L'albero degli zoccoli,7.9,1978,Luigi Ornaghi;Francesca Moriggi;Omar Brignoli;Antonio Ferrari,186,https://www.imdb.com//title/tt0077138/
47,Dawn of the Dead,7.9,1978,David Emge;Ken Foree;Scott H. Reiniger;Gaylen Ross,127,https://www.imdb.com//title/tt0077402/
43,The Deer Hunter,8.1,1978,Robert De Niro;Christopher Walken;John Cazale;John Savage,183,https://www.imdb.com//title/tt0077416/
42,Höstsonaten,8.2,1978,Ingrid Bergman;Liv Ullmann;Lena Nyman;Halvar Björk,99,https://www.imdb.com//title/tt0077711/
44,Neseli Günler,8.7,1978,Münir Özkul;Adile Nasit;Sener Sen;Aysen Gruda,92,https://www.imdb.com//title/tt0765833/
50,All That Jazz,7.9,1979,Roy Scheider;Jessica Lange;Ann Reinking;Leland Palmer,123,https://www.imdb.com//title/tt0078754/
55,Manhattan,7.9,1979,Woody Allen;Diane Keaton;Mariel Hemingway;Michael Murphy,96,https://www.imdb.com//title/tt0079522/
57,Amator,7.9,1979,Jerzy Stuhr;Malgorzata Zabkowska;Ewa Pokas;Stefan Czyzewski,112,https://www.imdb.com//title/tt0078763/
48,Being There,8.0,1979,Peter Sellers;Shirley MacLaine;Melvyn Douglas;Jack Warden,130,https://www.imdb.com//title/tt0078841/
49,Stalker,8.1,1979,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko,162,https://www.imdb.com//title/tt0079944/
67,The Blues Brothers,7.9,1980,John Belushi;Dan Aykroyd;Cab Calloway;John Candy,133,https://www.imdb.com//title/tt0080455/
68,'Breaker' Morant,7.9,1980,Edward Woodward;Jack Thompson;John Waters;Bryan Brown,107,https://www.imdb.com//title/tt0080310/
69,Le roi et l'oiseau,7.9,1980,Jean Martin;Pascal Mazzotti;Raymond Bussières;Agnès Viala,83,https://www.imdb.com//title/tt0079820/
59,Pixote: A Lei do Mais Fraco,8.0,1980,Fernando Ramos da Silva;Jorge Julião;Gilberto Moura;Edilson Lino,128,https://www.imdb.com//title/tt0082912/
63,Kagemusha,8.0,1980,Tatsuya Nakadai;Tsutomu Yamazaki;Ken'ichi Hagiwara;Jinpachi Nezu,180,https://www.imdb.com//title/tt0080979/
71,Davaro: Son Eskiya,8.1,1981,Kemal Sunal;Sener Sen;Pembe Mutlu;Aysen Gruda,94,https://www.imdb.com//title/tt0252361/
72,Mis,8.2,1981,Stanislaw Tym;Barbara Burska;Christine Paul;Krzysztof Kowalewski,111,https://www.imdb.com//title/tt0082755/
74,Das Boot,8.3,1981,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch,149,https://www.imdb.com//title/tt0082096/
